,residual,county_state
5055,-58.71172,"Greene County, Arkansas"
5057,-270.18866,"Hempstead County, Arkansas"
5059,-78.99512,"Hot Spring County, Arkansas"
5061,-114.79725,"Howard County, Arkansas"
5063,9.938396,"Independence County, Arkansas"
5065,67.68651,"Izard County, Arkansas"
5067,-220.85164,"Jackson County, Arkansas"
5069,138.68134,"Jefferson County, Arkansas"
5071,27.055046,"Johnson County, Arkansas"
5073,-147.32852,"Lafayette County, Arkansas"
5075,428.66214,"Lawrence County, Arkansas"
5077,-492.41702,"Lee County, Arkansas"
5079,6387.9556,"Lincoln County, Arkansas"
5081,-145.25172,"Little River County, Arkansas"
5083,-4.545103,"Logan County, Arkansas"
5085,-59.7933,"Lonoke County, Arkansas"
5087,-61.044567,"Madison County, Arkansas"
5089,20.097271,"Marion County, Arkansas"
5091,-70.07032,"Miller County, Arkansas"
5093,-251.04341,"Mississippi County, Arkansas"
5095,-339.83926,"Monroe County, Arkansas"
5097,-44.081547,"Montgomery County, Arkansas"
5099,-198.14088,"Nevada County, Arkansas"
5101,9.556692,"Newton County, Arkansas"
5103,-199.34729,"Ouachita County, Arkansas"
5105,118.66994,"Perry County, Arkansas"
5107,-483.48578,"Phillips County, Arkansas"
5109,-8.242779,"Pike County, Arkansas"
5111,-1.7395859,"Poinsett County, Arkansas"
5113,43.03961,"Polk County, Arkansas"
5115,-0.27065277,"Pope County, Arkansas"
5117,-26.679298,"Prairie County, Arkansas"
5119,-33.82567,"Pulaski County, Arkansas"
5121,52.166206,"Randolph County, Arkansas"
5123,925.43115,"St. Francis County, Arkansas"
5125,-110.12527,"Saline County, Arkansas"
5127,-536.4776,"Scott County, Arkansas"
5129,107.73832,"Searcy County, Arkansas"
5131,-232.60345,"Sebastian County, Arkansas"
5133,-963.68134,"Sevier County, Arkansas"
5135,217.41568,"Sharp County, Arkansas"
5137,77.912994,"Stone County, Arkansas"
5139,-59.930756,"Union County, Arkansas"
5141,157.4769,"Van Buren County, Arkansas"
5143,-57.154533,"Washington County, Arkansas"
5145,-51.419186,"White County, Arkansas"
5147,-147.65941,"Woodruff County, Arkansas"
5149,-144.52667,"Yell County, Arkansas"
6001,-80.335144,"Alameda County, California"
6003,121.500565,"Alpine County, California"
6005,-234.89949,"Amador County, California"
6007,-69.57888,"Butte County, California"
6009,70.42957,"Calaveras County, California"
6011,-330.2807,"Colusa County, California"
6013,-129.32127,"Contra Costa County, California"
6015,-187.29863,"Del Norte County, California"
6017,-12.261528,"El Dorado County, California"
6019,-178.17618,"Fresno County, California"
6021,-361.77893,"Glenn County, California"
6023,30.566816,"Humboldt County, California"
6025,222.40007,"Imperial County, California"
6027,-3.4300308,"Inyo County, California"
6029,-151.7793,"Kern County, California"
6031,-370.5378,"Kings County, California"
6033,-63.913406,"Lake County, California"
6035,-35.690975,"Lassen County, California"
6037,111.56326,"Los Angeles County, California"
6039,-396.1321,"Madera County, California"
6041,-268.70456,"Marin County, California"
6043,99.90399,"Mariposa County, California"
6045,-109.515114,"Mendocino County, California"
6047,-334.19928,"Merced County, California"
6049,-10.627274,"Modoc County, California"
6051,19.33081,"Mono County, California"
6053,-299.02496,"Monterey County, California"
6055,-140.23378,"Napa County, California"
6057,-24.968853,"Nevada County, California"
6059,-179.00548,"Orange County, California"
6061,87.193474,"Placer County, California"
6063,31.013027,"Plumas County, California"
6065,167.82616,"Riverside County, California"
6067,-31.152405,"Sacramento County, California"
6069,-95.04412,"San Benito County, California"
6071,110.20924,"San Bernardino County, California"
6073,-108.48753,"San Diego County, California"
6075,-934.171,"San Francisco County, California"
6077,-44.259636,"San Joaquin County, California"
6079,-136.4241,"San Luis Obispo County, California"
6081,-38.37166,"San Mateo County, California"
6083,276.87683,"Santa Barbara County, California"
6085,-145.26459,"Santa Clara County, California"
6087,-71.822334,"Santa Cruz County, California"
6089,5.3496914,"Shasta County, California"
6091,-78.92706,"Sierra County, California"
6093,16.465618,"Siskiyou County, California"
6095,3.1190262,"Solano County, California"
6097,-71.408,"Sonoma County, California"
6099,16.663078,"Stanislaus County, California"
6101,-115.92673,"Sutter County, California"
6103,-51.05377,"Tehama County, California"
6105,57.357685,"Trinity County, California"
6107,-683.52344,"Tulare County, California"
6109,-25.466726,"Tuolumne County, California"
6111,-411.55978,"Ventura County, California"
6113,84.92526,"Yolo County, California"
6115,-111.3246,"Yuba County, California"
8001,-2.3304138,"Adams County, Colorado"
8003,-112.92407,"Alamosa County, Colorado"
8005,277.49606,"Arapahoe County, Colorado"
8007,-71.36236,"Archuleta County, Colorado"
8009,302.91293,"Baca County, Colorado"
8011,-664.6632,"Bent County, Colorado"
8013,26.122116,"Boulder County, Colorado"
8014,59.826324,"Broomfield County, Colorado"
8015,100.1044,"Chaffee County, Colorado"
8017,126.92239,"Cheyenne County, Colorado"
8019,-5.343582,"Clear Creek County, Colorado"
8021,-60.459106,"Conejos County, Colorado"
8023,-201.42387,"Costilla County, Colorado"
8025,231.36945,"Crowley County, Colorado"
8027,-14.76532,"Custer County, Colorado"
8029,76.10968,"Delta County, Colorado"
8031,-450.4997,"Denver County, Colorado"
8033,-33.268375,"Dolores County, Colorado"
8035,-17.86766,"Douglas County, Colorado"
8037,565.5083,"Eagle County, Colorado"
8039,-86.50253,"Elbert County, Colorado"
8041,-32.482727,"El Paso County, Colorado"
8043,-401.91803,"Fremont County, Colorado"
8045,-193.62337,"Garfield County, Colorado"
8047,-203.02473,"Gilpin County, Colorado"
8049,-58.186718,"Grand County, Colorado"
8051,838.5884,"Gunnison County, Colorado"
8053,268.15704,"Hinsdale County, Colorado"
8055,-6.508152,"Huerfano County, Colorado"
8057,-489.8867,"Jackson County, Colorado"
8059,28.582336,"Jefferson County, Colorado"
8061,-196.62337,"Kiowa County, Colorado"
8063,203.76784,"Kit Carson County, Colorado"
8065,73.55997,"Lake County, Colorado"
8067,-151.28311,"La Plata County, Colorado"
8069,-58.305008,"Larimer County, Colorado"
8071,-91.9656,"Las Animas County, Colorado"
8073,-930.4118,"Lincoln County, Colorado"
8075,2023.8667,"Logan County, Colorado"
8077,-127.25951,"Mesa County, Colorado"
8079,196.12152,"Mineral County, Colorado"
8081,-152.08836,"Moffat County, Colorado"
8083,-38.90271,"Montezuma County, Colorado"
8085,117.04155,"Montrose County, Colorado"
8087,1460.4766,"Morgan County, Colorado"
8089,-43.484062,"Otero County, Colorado"
8091,73.0423,"Ouray County, Colorado"
8093,-44.42224,"Park County, Colorado"
8095,-67.75458,"Phillips County, Colorado"
8097,72.62459,"Pitkin County, Colorado"
8099,-401.07236,"Prowers County, Colorado"
8101,-36.752823,"Pueblo County, Colorado"
8103,-254.53468,"Rio Blanco County, Colorado"
8105,-21.564415,"Rio Grande County, Colorado"
8107,-137.32709,"Routt County, Colorado"
8109,-47.378235,"Saguache County, Colorado"
8111,-1.8473816,"San Juan County, Colorado"
8113,-84.738464,"San Miguel County, Colorado"
8115,-91.939445,"Sedgwick County, Colorado"
8117,-84.4068,"Summit County, Colorado"
8119,35.878975,"Teller County, Colorado"
8121,23.770447,"Washington County, Colorado"
8123,396.8708,"Weld County, Colorado"
8125,-658.33887,"Yuma County, Colorado"
9001,716.2501,"Fairfield County, Connecticut"
9003,-363.41644,"Hartford County, Connecticut"
9005,355.5723,"Litchfield County, Connecticut"
9007,46.70291,"Middlesex County, Connecticut"
9009,252.85028,"New Haven County, Connecticut"
9011,-21.515167,"New London County, Connecticut"
9013,23.391632,"Tolland County, Connecticut"
9015,-75.61658,"Windham County, Connecticut"
10001,-336.13513,"Kent County, Delaware"
10003,-838.50116,"New Castle County, Delaware"
10005,1451.226,"Sussex County, Delaware"
12001,86.34659,"Alachua County, Florida"
12003,-50.90789,"Baker County, Florida"
12005,-36.507607,"Bay County, Florida"
12007,61.800392,"Bradford County, Florida"
12009,-102.84001,"Brevard County, Florida"
12011,-434.5585,"Broward County, Florida"
12013,132.48535,"Calhoun County, Florida"
12015,145.34563,"Charlotte County, Florida"
12017,72.94226,"Citrus County, Florida"
12019,-36.892166,"Clay County, Florida"
12021,-128.3554,"Collier County, Florida"
12023,-14.82962,"Columbia County, Florida"
12027,-122.4619,"DeSoto County, Florida"
12029,80.61619,"Dixie County, Florida"
12031,-66.65602,"Duval County, Florida"
12033,151.10439,"Escambia County, Florida"
12035,-5.350418,"Flagler County, Florida"
12037,-38.40483,"Franklin County, Florida"
12039,-83.08673,"Gadsden County, Florida"
12041,-59.32956,"Gilchrist County, Florida"
12043,-125.158676,"Glades County, Florida"
12045,-474.25363,"Gulf County, Florida"
12047,709.34125,"Hamilton County, Florida"
12049,-238.96848,"Hardee County, Florida"
12051,455.3442,"Hendry County, Florida"
12053,-86.29122,"Hernando County, Florida"
12055,12.973541,"Highlands County, Florida"
12057,-229.00623,"Hillsborough County, Florida"
12059,-57.835796,"Holmes County, Florida"
12061,-124.66742,"Indian River County, Florida"
12063,60.434937,"Jackson County, Florida"
12065,-115.55022,"Jefferson County, Florida"
12067,-130.81015,"Lafayette County, Florida"
12069,-191.31581,"Lake County, Florida"
12071,19.150375,"Lee County, Florida"
12073,-134.3584,"Leon County, Florida"
12075,-46.46183,"Levy County, Florida"
