,residual,county_state
05055,15.286549,"Greene County, Arkansas"
05057,-324.72516,"Hempstead County, Arkansas"
05059,-71.66986,"Hot Spring County, Arkansas"
05061,-87.8722,"Howard County, Arkansas"
05063,-8.821991,"Independence County, Arkansas"
05065,69.27888,"Izard County, Arkansas"
05067,-158.72566,"Jackson County, Arkansas"
05069,175.41321,"Jefferson County, Arkansas"
05071,6.1465225,"Johnson County, Arkansas"
05073,-176.75943,"Lafayette County, Arkansas"
05075,393.23416,"Lawrence County, Arkansas"
05077,-261.4488,"Lee County, Arkansas"
05079,6199.61,"Lincoln County, Arkansas"
05081,-135.59859,"Little River County, Arkansas"
05083,-145.4061,"Logan County, Arkansas"
05085,-63.394,"Lonoke County, Arkansas"
05087,-82.487755,"Madison County, Arkansas"
05089,20.007992,"Marion County, Arkansas"
05091,-98.991325,"Miller County, Arkansas"
05093,-260.7483,"Mississippi County, Arkansas"
05095,-183.59616,"Monroe County, Arkansas"
05097,-55.383205,"Montgomery County, Arkansas"
05099,-279.49237,"Nevada County, Arkansas"
05101,32.35792,"Newton County, Arkansas"
05103,-226.67714,"Ouachita County, Arkansas"
05105,87.80358,"Perry County, Arkansas"
05107,-540.43365,"Phillips County, Arkansas"
05109,34.670403,"Pike County, Arkansas"
05111,-22.027832,"Poinsett County, Arkansas"
05113,22.574413,"Polk County, Arkansas"
05115,-44.640564,"Pope County, Arkansas"
05117,-56.672993,"Prairie County, Arkansas"
05119,-97.07396,"Pulaski County, Arkansas"
05121,122.22923,"Randolph County, Arkansas"
05123,941.5255,"St. Francis County, Arkansas"
05125,-58.445335,"Saline County, Arkansas"
05127,-488.25174,"Scott County, Arkansas"
05129,106.91105,"Searcy County, Arkansas"
05131,-256.45352,"Sebastian County, Arkansas"
05133,-229.5583,"Sevier County, Arkansas"
05135,192.38197,"Sharp County, Arkansas"
05137,31.831055,"Stone County, Arkansas"
05139,-61.113464,"Union County, Arkansas"
05141,174.55563,"Van Buren County, Arkansas"
05143,-192.90971,"Washington County, Arkansas"
05145,-46.547665,"White County, Arkansas"
05147,-143.3299,"Woodruff County, Arkansas"
05149,-169.07895,"Yell County, Arkansas"
06001,-115.53859,"Alameda County, California"
06003,126.29927,"Alpine County, California"
06005,-203.92981,"Amador County, California"
06007,-77.82549,"Butte County, California"
06009,37.61978,"Calaveras County, California"
06011,-254.71735,"Colusa County, California"
06013,-151.23007,"Contra Costa County, California"
06015,-136.95238,"Del Norte County, California"
06017,-21.965439,"El Dorado County, California"
06019,-186.47916,"Fresno County, California"
06021,-327.67844,"Glenn County, California"
06023,-15.59164,"Humboldt County, California"
06025,37.577362,"Imperial County, California"
06027,-8.734688,"Inyo County, California"
06029,-105.77179,"Kern County, California"
06031,-499.30887,"Kings County, California"
06033,-98.27728,"Lake County, California"
06035,-104.96336,"Lassen County, California"
06037,49.294647,"Los Angeles County, California"
06039,-355.08252,"Madera County, California"
06041,-123.714584,"Marin County, California"
06043,90.71358,"Mariposa County, California"
06045,-98.04273,"Mendocino County, California"
