fips,LND110210,POP060210
8061,1767.77,0.8
8063,2160.82,3.8
8065,376.91,19.4
8067,1692.08,30.3
8069,2596,115.4
8071,4772.67,3.2
8073,2577.63,2.1
8075,1838.55,12.4
8077,3328.97,44.1
8079,875.67,0.8
8081,4743.29,2.9
8083,2029.53,12.6
8085,2240.7,18.4
8087,1280.43,22
8089,1261.96,14.9
8091,541.59,8.2
8093,2193.85,7.4
8095,687.93,6.5
8097,970.7,17.7
8099,1638.4,7.7
8101,2386.1,66.7
8103,3220.93,2.1
8105,911.96,13.1
8107,2362.03,10
8109,3168.53,1.9
8111,387.49,1.8
8113,1286.61,5.7
8115,548.04,4.3
8117,608.36,46
8119,557.06,41.9
8121,2518.03,1.9
8123,3987.24,63.4
8125,2364.41,4.2
9000,4842.36,738.1
9001,624.89,1467.2
9003,735.1,1216.2
9005,920.56,206.3
9007,369.3,448.6
9009,604.51,1426.7
9011,664.88,412.2
9013,410.21,372.2
9015,512.91,230.9
10000,1948.54,460.8
10001,586.18,276.9
10003,426.29,1263.2
10005,936.08,210.6
11000,61.05,9856.5
11001,61.05,9856.6
12000,53624.76,350.6
12001,875.02,282.7
12003,585.23,46.3
12005,758.46,222.6
12007,293.96,97
12009,1015.66,535
12011,1209.79,1444.9
12013,567.33,25.8
12015,680.28,235.2
12017,581.7,242.8
12019,604.36,315.8
12021,1998.32,160.9
12023,797.57,84.7
12027,637.06,54.7
12029,705.05,23.3
12031,762.19,1133.9
12033,656.46,453.4
12035,485.46,197.1
12037,534.73,21.6
12039,516.33,89.8
12041,349.68,48.4
12043,806.01,16
12045,564.01,28.1
12047,513.79,28.8
12049,637.78,43.5
12051,1152.75,34
12053,472.54,365.6
12055,1016.62,97.2
12057,1020.21,1204.9
12059,478.78,41.6
12061,502.87,274.5
12063,917.76,54.2
12065,598.1,24.7
12067,543.41,16.3
12069,938.38,316.6
12071,784.51,788.7
12073,666.85,413.1
12075,1118.21,36.5
12077,835.56,10
12079,695.95,27.6
12081,742.93,434.5
12083,1584.55,209.1
12085,543.46,269.2
12086,1897.72,1315.5
12087,983.28,74.3
12089,648.64,113
12091,930.25,194.4
12093,768.91,52
12095,903.43,1268.5
12097,1327.45,202.4
12099,1969.76,670.2
12101,746.89,622.2
12103,273.8,3347.5
12105,1797.84,334.9
12107,727.62,102.2
12109,600.66,316.4
12111,571.93,485.7
12113,1011.61,149.6
12115,555.87,682.6
12117,309.22,1367
12119,546.93,170.8
12121,688.55,60.3
12123,1043.31,21.6
12125,243.56,63.8
12127,1101.03,449.2
12129,606.42,50.8
12131,1037.63,53
12133,582.8,42.7
13000,57513.49,168.4
13001,507.08,36
13003,339.38,24.7
13005,258.58,42.9
13007,341.94,10.1
13009,257.84,177.3
13011,232.09,79.3
13013,160.31,432.7
13015,459.54,217.9
13017,250.12,70.5
13019,451.9,42.7
13021,249.76,622.8
13023,215.87,60.5
13025,442.36,41.6
13027,493.05,32.9
13029,435.97,69.3
13031,672.81,104.4
13033,826.97,28.2
13035,184.39,128.3
13037,280.37,23.9
13039,613.03,82.4
13043,243.04,45.3
13045,499.08,221.5
13047,162.16,394.3
13049,773.58,15.7
13051,426.44,621.7
13053,248.74,45.3
13055,313.34,83
13057,421.67,508.3
13059,119.2,979.1
13061,195.38,16.3
13063,141.57,1832.5
13065,800.22,8.5
13067,339.55,2026.4
13069,575.1,73.7
13071,544.15,83.6
13073,290.09,427.6
13075,227.16,75.8
13077,440.89,288.8
13079,324.89,38.9
13081,272.58,86
13083,173.98,95.6
13085,210.83,105.9
13087,597.14,46.6
13089,267.58,2585.7
13091,495.89,44
13093,391.94,38.1
13095,328.69,287.7
13097,200.07,661.8
13099,512.59,21.5
13101,414.89,9.7
13103,477.7,109.4
13105,351.06,57.4
13107,680.6,33.2
13109,182.85,60.2
13111,386.72,61.2
13113,194.34,548.3
13115,509.91,188.9
13117,224.02,783.5
13119,261.5,84.5
13121,526.64,1748
13123,426.54,66.3
13125,143.74,21.4
13127,419.75,189.7
13129,355.81,155.1
13131,454.53,55
13133,387.44,41.3
13135,430.38,1871.2
13137,276.74,155.5
13139,392.78,457.5
13141,471.84,20
13143,282.17,102
13145,463.87,69
13147,232.39,108.5
13149,296.03,40
13151,322.13,633
13153,375.54,372.5
13155,354.34,26.9
13157,339.66,178.1
13159,368.17,37.8
13161,330.74,45.6
13163,526.49,32.2
13165,347.28,24
13167,303.01,32.9
13169,393.93,72.8
13171,183.5,99.8
13173,185.26,54.4
13175,807.3,60
13177,355.78,79.5
13179,489.8,129.5
13181,210.38,38
13183,400.29,36.1
13185,496.07,220.2
13187,282.93,105.9
13189,257.46,85
13191,424.3,33.8
13193,400.64,36.8
13195,282.31,99.6
13197,366,23.9
13199,501.22,43.9
13201,282.42,21.7
13205,512.09,45.9
13207,395.66,66.8
13209,239.52,38.1
13211,347.35,51.4
13213,344.47,115
13215,216.39,877.5
13217,272.16,367.3
13219,184.29,178
13221,439.01,33.9
13223,312.22,455.8
13225,150.27,184.3
13227,232.06,126.8
13229,316.49,59.3
13231,216.09,82.7
13233,310.33,133.6
13235,249.03,48.2
13237,344.64,61.6
13239,151.24,16.6
13241,369.99,44
13243,428.24,18
13245,324.33,618.4
13247,129.79,656.5
13249,166.91,30
13251,645.1,22.6
13253,235.23,37.1
13255,196.47,326.1
13257,179.13,146.1
13259,458.73,13.2
13261,482.7,68
13263,391.39,17.5
13265,194.61,8.8
13267,479.4,53.2
13269,376.69,23.6
13271,437.3,37.7
13273,335.44,27.8
13275,544.6,82.1
13277,258.92,154.9
13279,364.01,74.8
13281,166.56,62.9
